Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.156252384185791,3199.9511726200467,0.2584350109100342
1,10,0.03974199295043945,25162.301277821105,0.2584350109100342
1,10,0.08268356323242188,18141.453287197233,0.2584350109100342
2,20,0.009625911712646484,5194.313171843265,0.2584350109100342
2,30,0.00400996208190918,24937.891670134966,0.2584350109100342
2,40,0.0038225650787353516,39240.66612611489,0.2584350109100342
3,50,0.0011425018310546875,43763.606010016694,0.2584350109100342
3,10,0.0015511512756347656,64468.24469720258,0.2584350109100342
3,10,0.004990100860595703,30059.512661251792,0.2584350109100342
4,30,0.00530695915222168,9421.59126645402,0.2584350109100342
4,10,0.0070247650146484375,14235.351615530817,0.2584350109100342
4,10,0.005037069320678711,29779.22090216311,0.2584350109100342
5,20,0.002136707305908203,23400.490961838874,0.2584350109100342
5,10,0.004346132278442383,23008.963739097042,0.2584350109100342
5,40,0.004091978073120117,36657.087921692015,0.2584350109100342
