Node,Message_Size,Latency,Throughput,Total_Time
Node,10,0.08261203765869141,12104.773448773449,0.10460686683654785
Node,10,0.10173320770263672,9829.632059995312,0.10745620727539062
Node,10,0.09996891021728516,10003.109945146673,0.11451053619384766
Node,10,0.10061264038085938,9939.109004739337,0.1070868968963623
Node,20,0.10099411010742188,19803.135033050046,0.1074514389038086
Node,40,0.10209083557128906,39180.794021485286,0.10805487632751465
Node,40,0.05323886871337891,75133.07657859381,0.10862541198730469
Node,40,0.09877681732177734,40495.33188510741,0.10128927230834961
Node,30,0.10020732879638672,29937.93004996431,0.10026049613952637
Node,50,0.1020669937133789,48987.432842793736,0.10881233215332031
Node,50,0.10190010070800781,49067.6649508657,0.10936951637268066
Node,50,0.10406970977783203,48044.71935853379,0.11438918113708496
Node,50,0.019788742065429688,252668.9156626506,0.11457037925720215
Node,50,0.10378360748291016,48177.1651734436,0.1081700325012207
Node,50,0.09608268737792969,520385.11166253104,0.1082448959350586
Node,50,0.10113716125488281,49437.81235266384,0.1142110824584961

