Node,Message_Size,Latency,Throughput,Total_Time
1,10,0.014867305755615234,672.6168254273709,0.28061747550964355
1,160,0.008183002471923828,19552.72536565468,0.28061747550964355
2,10,0.008177042007446289,1222.936116861533,0.28061747550964355
2,80,0.006822824478149414,11725.34926791767,0.28061747550964355
2,160,0.004095554351806641,39066.75049481895,0.28061747550964355
3,10,0.0065038204193115234,1537.5578283661425,0.28061747550964355
3,20,0.008002042770385742,2499.3617972171737,0.28061747550964355
3,40,0.008018016815185547,4988.76479333928,0.28061747550964355
3,80,0.008264303207397461,9680.186942849725,0.28061747550964355
4,10,0.006200551986694336,1612.7596416349445,0.28061747550964355
4,20,0.005063533782958984,3949.810716639985,0.28061747550964355
4,40,0.004049539566040039,9877.666176037681,0.28061747550964355
5,20,0.004140138626098633,4830.756118629427,0.28061747550964355
