Node,Message_Size,Latency,Throughput,Total_Time
1,10,1.0418620109558105,9.598200044577823,25.234745502471924
1,20,1.0031929016113281,19.936345211251002,25.234745502471924
1,40,1.0016043186187744,39.935930043872546,25.234745502471924
1,80,1.0036144256591797,79.7118873091681,25.234745502471924
1,160,1.0014419555664062,159.76961930809608,25.234745502471924
2,10,1.0059688091278076,9.94066606167459,25.234745502471924
2,20,1.0121514797210693,19.75988812021659,25.234745502471924
2,40,1.0031931400299072,39.87268094637042,25.234745502471924
2,80,1.0177245140075684,78.60673384487727,25.234745502471924
2,160,1.0071780681610107,158.85969428637506,25.234745502471924
3,10,1.0045523643493652,9.954682657560477,25.234745502471924
3,20,1.0070993900299072,19.8590131202503,25.234745502471924
3,40,1.00262451171875,39.89529433250137,25.234745502471924
3,80,1.0085663795471191,79.32051040202504,25.234745502471924
3,160,1.0143458843231201,157.73712150147784,25.234745502471924
4,10,1.0145180225372314,9.85689734223821,25.234745502471924
4,20,1.0038087368011475,19.924114292663266,25.234745502471924
4,40,1.012397289276123,39.51018085854468,25.234745502471924
4,80,1.0051088333129883,79.59337073609044,25.234745502471924
4,160,1.0102880001068115,158.370682402527,25.234745502471924
5,10,1.0097887516021729,9.903061391933297,25.234745502471924
5,20,1.006636619567871,19.868142695410384,25.234745502471924
5,40,1.0051229000091553,39.79612841338672,25.234745502471924
5,80,1.0159666538238525,78.74274189895836,25.234745502471924
5,160,1.014620065689087,157.69449610809224,25.234745502471924
