Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.014544963836669922,3437.615972199456,0.09490275382995605
1,100,0.001474142074584961,67836.06663431991,0.09490275382995605
1,150,0.0011768341064453125,127460.61588330632,0.09490275382995605
2,50,0.0017349720001220703,28818.908891026524,0.09490275382995605
2,100,0.0026183128356933594,38192.5332362047,0.09490275382995605
2,150,0.001773834228515625,84562.58064516129,0.09490275382995605
3,50,0.0012531280517578125,39900.15220700152,0.09490275382995605
3,100,0.0011298656463623047,88506.09833298164,0.09490275382995605
3,150,0.0014710426330566406,101968.49270664506,0.09490275382995605
4,50,0.0016238689422607422,30790.662164146233,0.09490275382995605
4,100,0.0019299983978271484,51813.514515132796,0.09490275382995605
4,150,0.0020830631256103516,72009.33959024838,0.09490275382995605
5,50,0.001474142074584961,33918.033317159956,0.09490275382995605
5,100,0.0012691020965576172,78795.86699229758,0.09490275382995605
5,150,0.0012679100036621094,118304.92666415946,0.09490275382995605
