Node,Message_Size,Latency,Throughput,Total_Time
1,50,1.016117811203003,49.206892595263106,15.159009456634521
1,100,1.0052847862243652,99.47429959183867,15.159009456634521
1,150,1.0101087093353271,148.49886810569444,15.159009456634521
2,50,1.015223503112793,49.25023883577774,15.159009456634521
2,100,1.010798454284668,98.9316906610913,15.159009456634521
2,150,1.011655569076538,148.27180770321203,15.159009456634521
3,50,1.0080621242523193,49.600117688267524,15.159009456634521
3,100,1.013826608657837,98.63619591952302,15.159009456634521
3,150,1.0142817497253418,147.8879019962832,15.159009456634521
4,50,1.0133798122406006,49.339842175708156,15.159009456634521
4,100,1.0048818588256836,99.51418579380181,15.159009456634521
4,150,1.0137300491333008,147.96838677934434,15.159009456634521
5,50,1.002415418624878,49.879520078203136,15.159009456634521
5,100,1.0065183639526367,99.35238499503984,15.159009456634521
5,150,1.0127246379852295,148.1152865979624,15.159009456634521
