Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.015633106231689453,3198.340704590514,0.3448176383972168
1,100,0.0177004337310791,5649.5790735577375,0.3448176383972168
1,150,0.008662223815917969,17316.56941539139,0.3448176383972168
2,50,0.010596036911010742,4718.7453592241745,0.3448176383972168
2,100,0.014753103256225586,6778.234942387563,0.3448176383972168
2,150,0.003505229949951172,42793.19820432594,0.3448176383972168
3,50,0.009784698486328125,5110.019493177388,0.3448176383972168
3,100,0.010832548141479492,9231.438318476945,0.3448176383972168
3,150,0.00420832633972168,35643.623590731404,0.3448176383972168
4,50,0.008897066116333008,5619.830104242034,0.3448176383972168
4,100,0.011585474014282227,8631.498363961888,0.3448176383972168
4,150,0.010849952697753906,13824.945064604026,0.3448176383972168
5,50,0.01674485206604004,2985.9923397832927,0.3448176383972168
5,100,0.005170345306396484,19341.06797011897,0.3448176383972168
5,150,0.010645389556884766,14090.606942889137,0.3448176383972168
