Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.008054971694946289,6207.346455527601,0.07251095771789551
1,100,0.001306295394897461,76552.36356999453,0.07251095771789551
1,150,0.0012106895446777344,123896.33714060654,0.07251095771789551
2,50,0.0014462471008300781,34572.23870755028,0.07251095771789551
2,100,0.001483917236328125,67389.2030848329,0.07251095771789551
2,150,0.0010879039764404297,137879.81591058514,0.07251095771789551
3,50,0.0016939640045166016,29516.565798733285,0.07251095771789551
3,100,0.0013937950134277344,71746.56175162505,0.07251095771789551
3,150,0.0015759468078613281,95180.87745839637,0.07251095771789551
4,50,0.0015180110931396484,32937.83571540757,0.07251095771789551
4,100,0.0011119842529296875,89929.33104631217,0.07251095771789551
4,150,0.001148223876953125,130636.54485049834,0.07251095771789551
5,50,0.0014448165893554688,34606.46864686468,0.07251095771789551
5,100,0.0011548995971679688,86587.61354252684,0.07251095771789551
5,150,0.0010209083557128906,146927.97758056983,0.07251095771789551
