Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.015801668167114258,3164.222882749672,0.21429443359375
1,150,0.0073277950286865234,20470.00488042948,0.21429443359375
2,50,0.0029740333557128906,16812.18534551868,0.21429443359375
2,100,0.0011777877807617188,84904.93927125506,0.21429443359375
3,100,0.009414911270141602,10621.44901111702,0.21429443359375
4,50,0.0067806243896484375,7373.952180028129,0.21429443359375
4,100,0.006030082702636719,16583.52048078444,0.21429443359375
4,150,0.0010101795196533203,148488.45881519944,0.21429443359375
5,50,0.003981113433837891,12559.30051503174,0.21429443359375
5,100,0.0009319782257080078,107298.64415451522,0.21429443359375
5,150,0.004307270050048828,34824.842245101296,0.21429443359375
