Node,Message_Size,Latency,Throughput,Total_Time
1,50,0.010297775268554688,4855.417669938877,50.2909779548645
1,100,0.004644870758056641,21529.12431988502,50.2909779548645
1,150,0.00600886344909668,24963.12343768599,50.2909779548645
2,100,0.0062139034271240234,16092.944020258605,50.2909779548645
2,150,0.007442951202392578,20153.29617528349,50.2909779548645
3,100,0.008123636245727539,12309.758459777537,50.2909779548645
3,150,0.007328033447265625,20469.338885996876,50.2909779548645
4,50,0.009060859680175781,5518.240185243659,50.2909779548645
4,100,0.008806705474853516,11354.98402728897,50.2909779548645
4,150,0.007536411285400391,19903.372350521986,50.2909779548645
5,50,0.009902477264404297,5049.2415852073,50.2909779548645
5,100,0.012763261795043945,7834.987764556442,50.2909779548645
5,150,0.006025552749633789,24893.98171962173,50.2909779548645
